x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89679.2803381,43161.28077325,0,0,0,-0.653754202003466,0.7535179219335909,35
89679.6925565,43159.8496954,0.0,0.0,0.0,-0.7061737775748178,0.70803855535254,35.0
89679.69647735,43158.3629486,0,0,0,-0.7571031315672927,0.6485882434042062,35
89679.7003982,43156.8762018,0.0,0.0,0.0,-0.8080324855597675,0.5891379314558723,35.0
89679.24906840001,43155.4711722,0,0,0,-0.8466723030793125,0.5270675942834364,35
89678.7977386,43154.0661426,0.0,0.0,0.0,-0.8853121205988576,0.46499725711100043,35.0
89677.95306485001,43152.84079935,0,0,0,-0.912905246153237,0.4023977256803247,35
89677.1083911,43151.6154561,0.0,0.0,0.0,-0.9404983717076164,0.33979819424964897,35.0
89675.95562765,43150.657422000004,0,0,0,-0.9572090987723243,0.2833453099765154,35
89674.8028642,43149.6993879,0.0,0.0,0.0,-0.9739198258370323,0.22689242570338192,35.0
89673.4628067,43149.0391735,0,0,0,-0.9815524105121047,0.1867828430179046,35
89672.1227492,43148.3789591,0.0,0.0,0.0,-0.9891849951871773,0.14667326033242728,35.0
89670.7259845,43147.9554316,0,0,0,-0.9931831358285279,0.11085163335794808,35
89669.3292198,43147.5319041,0.0,0.0,0.0,-0.9971812764698786,0.07503000638346888,35.0
89667.74383435222,43147.51564900472,0,0,0,-0.9966620028749268,0.08138886472295405,35
89666.15844890445,43147.49939390944,0.0,0.0,0.0,-0.9961427292799749,0.08774772306243922,35.0
89664.59411723548,43147.54408909999,0,0,0,-0.9961233929373567,0.08796668531101884,35
89663.02978556653,43147.58878429053,0.0,0.0,0.0,-0.9961040565947387,0.08818564755959844,35.0
89661.46545389757,43147.23122276619,0,0,0,-0.9578223577096232,0.24059026445561965,35
89659.9011222286,43146.87366124186,0.0,0.0,0.0,-0.9195406588245078,0.39299488135164085,35.0
89658.69435208398,43145.53280552561,0,0,0,-0.8726736137209897,0.47847417341641246,35
89657.48758193935,43144.191949809356,0.0,0.0,0.0,-0.8258065686174717,0.5639534654811841,35.0
89656.99593484338,43142.627618140395,0,0,0,-0.8104346602181427,0.5852403229844158,35
89656.50428774742,43141.06328647143,0.0,0.0,0.0,-0.7950627518188138,0.6065271804876474,35.0
89656.37141487372,43139.485504185715,0,0,0,-0.758392760161559,0.6493547073728547,35
89656.238542,43137.9077219,0.0,0.0,0.0,-0.7217227685043043,0.6921822342580619,35.0
89656.17111747863,43136.2948489948,0,0,0,-0.6943783867430673,0.7186047531874643,35
89656.10369295724,43134.68197608961,0.0,0.0,0.0,-0.6670340049818302,0.7450272721168667,35.0
89656.24938213971,43133.36715461028,0,0,0,-0.6923147319543208,0.7207437170851947,35
89656.39507132217,43132.052333130945,0.0,0.0,0.0,-0.7175954589268114,0.6964601620535226,35.0
89656.35344584147,43130.66016921165,0,0,0,-0.7445135590234386,0.6663861729483456,35
89656.31182036076,43129.26800529235,0.0,0.0,0.0,-0.7714316591200658,0.6363121838431687,35.0
89655.93719103443,43127.33444429333,0,0,0,-0.8272156125703098,0.5528429931365402,35
89655.56256170811,43125.400883294315,0.0,0.0,0.0,-0.8829995660205537,0.46937380242991167,35.0
89654.86641505406,43124.369296247154,0,0,0,-0.9188045075532517,0.38361708596255795,35
89654.1702684,43123.3377092,0.0,0.0,0.0,-0.9546094490859497,0.29786036949520417,35.0
89652.97476986487,43122.51119417162,0,0,0,-0.9765663587098925,0.1760930389602736,35
89651.77927132975,43121.68467914323,0.0,0.0,0.0,-0.9985232683338354,0.054325708425343025,35.0
89650.23989630767,43121.51667922673,0,0,0,-0.9992513475226955,0.030370117595554174,35
89648.70052128557,43121.34867931021,0.0,0.0,0.0,-0.9999794267115556,0.00641452676576532,35.0
89647.43979438908,43121.229356655764,0,0,0,-0.9999794267115556,0.00641452676576532,35
89645.69792169728,43121.396481447875,0,0,0,-0.9999794267115556,0.00641452676576532,35
89644.16786842099,43121.60833497844,0.0,0.0,0.0,-0.9999794267115556,0.00641452676576532,35.0
89642.56719730119,43121.89080635252,0,0,0,-0.5094345286762725,0.07289670565887925,35
89640.61343696377,43122.526366944214,0,0,0,-0.018889630640989363,0.13937888455199318,35
89637.82169810095,43123.36399101688,0.0,0.0,0.0,0.9622001654295769,0.27234324233822105,35.0
